2B,410,DME,4029,KZN,2990,,0,CR2
2B,410,DME,4029,NBC,6969,,0,CR2
2B,410,DME,4029,TGK,\N,,0,CR2
2B,410,DME,4029,UUA,6160,,0,CR2
2B,410,KZN,2990,DME,4029,,0,CR2
2B,410,NBC,6969,DME,4029,,0,CR2
2B,410,TGK,\N,DME,4029,,0,CR2
2B,410,UUA,6160,DME,4029,,0,CR2
3R,3545,ASF,2966,DME,4029,,0,SU9
3R,3545,BHK,2980,DME,4029,,0,734
3R,3545,DME,4029,ASF,2966,,0,SU9
3R,3545,DME,4029,BHK,2980,,0,734
3R,3545,DME,4029,EGO,6156,,0,SU9
3R,3545,DME,4029,FEG,6149,,0,734
3R,3545,DME,4029,KSQ,6153,,0,734
3R,3545,DME,4029,NMA,6150,,0,734
3R,3545,DME,4029,NVI,6485,,0,734
3R,3545,DME,4029,SKD,2981,,0,734
3R,3545,DME,4029,TIV,1743,,0,SU9 73G
3R,3545,EGO,6156,DME,4029,,0,SU9
3R,3545,FEG,6149,DME,4029,,0,734
3R,3545,KSQ,6153,DME,4029,,0,734
3R,3545,NMA,6150,DME,4029,,0,734
3R,3545,NVI,6485,DME,4029,,0,734
3R,3545,SKD,2981,DME,4029,,0,734
3R,3545,TIV,1743,DME,4029,,0,SU9 73G
4B,\N,LAS,3877,LAX,3484,,0,PL2
4B,\N,LAX,3484,LAS,3877,,0,PL2
5J,1683,MNL,2397,NRT,2279,,0,320
5J,1683,NRT,2279,MNL,2397,,0,320
6R,1340,DME,4029,KRR,2960,,0,738 73G
6R,1340,DME,4029,LED,2948,,0,738
6R,1340,DME,4029,MJZ,2925,,0,738
6R,1340,DME,4029,PYJ,6092,,0,TU5
6R,1340,KRR,2960,DME,4029,,0,738 73G
6R,1340,LED,2948,DME,4029,,0,738
6R,1340,MJZ,2925,DME,4029,,0,738
6R,1340,PYJ,6092,DME,4029,,0,TU5
6W,4805,DME,4029,RTW,4363,,0,YK2 E90
6W,4805,RTW,4363,DME,4029,,0,E90 YK2
7C,2994,ICN,3930,NRT,2279,,0,737
7C,2994,NRT,2279,ICN,3930,,0,737
7J,9531,DME,4029,DYU,2979,,0,752
7J,9531,DME,4029,LBD,6147,,0,735
7J,9531,DYU,2979,DME,4029,,0,752
7J,9531,LBD,6147,DME,4029,,0,733
7R,1469,AKX,2920,DME,4029,,0,CR2
7R,1469,CSY,6162,DME,4029,,0,CR2
7R,1469,DME,4029,AKX,2920,,0,CR2
7R,1469,DME,4029,CSY,6162,,0,CR2
7R,1469,DME,4029,EGO,6156,,0,CR2
7R,1469,DME,4029,ESL,6125,,0,CR2
7R,1469,DME,4029,GRV,6122,,0,CR2
7R,1469,DME,4029,IJK,6141,,0,CR2
7R,1469,DME,4029,MCX,2961,,0,CR2
7R,1469,DME,4029,PES,6114,,0,CR2
7R,1469,DME,4029,PEZ,6165,,0,CR2
7R,1469,DME,4029,SKX,6166,,0,CR2
7R,1469,DME,4029,ULV,7003,,0,CR2
7R,1469,DME,4029,VKT,6159,,0,CR2
7R,1469,DME,4029,VOZ,2987,,0,CR2
7R,1469,EGO,6156,DME,4029,,0,CR2
7R,1469,ESL,6125,DME,4029,,0,CR2
7R,1469,GRV,6122,DME,4029,,0,CR2
7R,1469,IJK,6141,DME,4029,,0,CR2
7R,1469,MCX,2961,DME,4029,,0,CR2
7R,1469,PES,6114,DME,4029,,0,CR2
7R,1469,PEZ,6165,DME,4029,,0,CR2
7R,1469,SKX,6166,DME,4029,,0,CR2
7R,1469,ULV,7003,DME,4029,,0,CR2
7R,1469,VKT,6159,DME,4029,,0,CR2
7R,1469,VOZ,2987,DME,4029,,0,CR2
9U,1073,DME,4029,KIV,1735,,0,320 E90
9U,1073,KIV,1735,DME,4029,,0,320 E90
9W,3000,BOM,2997,NRT,2279,Y,0,737
9W,3000,NRT,2279,BOM,2997,Y,0,737
A3,96,ATH,3941,DME,4029,,0,320 321
A3,96,CFU,1460,DME,4029,,0,320
A3,96,DME,4029,ATH,3941,,0,320 321
A3,96,DME,4029,CFU,1460,,0,320
A3,96,DME,4029,HER,1452,,0,320
A3,96,DME,4029,KGS,1458,,0,320
A3,96,DME,4029,RHO,1472,,0,320
A3,96,DME,4029,SKG,1486,,0,320
A3,96,HER,1452,DME,4029,,0,320
A3,96,KGS,1458,DME,4029,,0,320
A3,96,RHO,1472,DME,4029,,0,320
A3,96,SKG,1486,DME,4029,,0,320
A9,2538,BUS,3971,DME,4029,,0,CRJ
A9,2538,DME,4029,BUS,3971,,0,CRJ
AA,24,ABQ,4019,LAX,3484,Y,0,CR7 CRJ
AA,24,ANC,3774,LAX,3484,Y,0,737
AA,24,AUS,3673,LAX,3484,,0,738 M83
AA,24,BDL,3825,LAX,3484,,0,738
AA,24,BKK,3885,NRT,2279,,0,763
AA,24,BNA,3690,LAX,3484,,0,738
AA,24,BNE,3320,LAX,3484,Y,0,744
AA,24,BOS,3448,LAX,3484,,0,738 757
AA,24,BOS,3448,NRT,2279,,0,787
